,Cleaned_English_Tweets,overall_sentiment
852,aura n pace movie wouldve change results completely unexpectedly brilliant ending veena musicchills stuck song,positive
854,show gods cooler superheroes siddhant karnick vibhishan,neutral
855,reports claiming declined editing director pitched idea releasing film parts hours content makers decided trimmed content single hour duration film,neutral
858,adipurush actor siddhant karnick defends film show kids gods cooler follow updates,neutral
859,hindus court justice called social civilized community takes matter hands law land deemed answers comments,positive
861,nw celebration fans busy nw busy wid wastage tym,neutral
862,budget crores collection crores budget crores collection crores approx budget crores croresstill running huge flop talk huge budget recovered,neutral
865,huge difference gross numbers different portals worldwide closing share end c site makes avg movie boxoffice considering recovery,neutral
866,movie watch today,neutral
870,day guwahati show ff rey ikkada oka evening shows add cheyinchu ra day day performing center guwahatiassam,positive
873,atleast makers ravans pushpak viman instead filthy chimgadhad functional spike haircut saif bade bade blunder lete bache darte,neutral
874,actor siddhant karnick played role vibhishan film support movie,positive
876,imdb k audience rated bms k audience rated redfms general audience ee rating isthe easily time watchable ani ardam,neutral
881,hindi telugu movie hindi movie made hindi registered hindi industry director producers technicians kannada wanna steal credit telugu saaho radhe shyam telugu movies,negative
882,adipurush ban allahabad high court,negative
888,hero bur unfortunately govt understand propaganda type art fools bjp neta support movie person manage soft power teach understand movies propaganda,negative
890,disliking film ruin caps moment offor handle discard trash community relax count,negative
891,bookings today shows filled families kids week kuda oka national holiday undalsindhi,positive
893,anantapur matniee show d show eyalsindi d,neutral
895,allahabad high court continues criticising make wrong documentary quran happen,negative
896,indian actor movies indian cinema history inko days th add avudhi hit talk gross flop talk gross kotti disco randi appatidaka mo kinda brathakandi,negative
897,case filmmakers touch,neutral
899,crossed closing collection highest south indian grosser year,negative
900,darlings waiting video song hyped song release hour jai shree ram,positive
904,question indian censor board cleared release movie back censor change colour costume ridiculous,negative
905,bangalore shows fast filling telugu version,neutral
907,june anta sare space consume cheddam twitter server dhi,neutral
913,eluru matniee show nd class day,neutral
915,video posted review watch analysis video posted day movie released link,neutral
916,movie hat chair film extra side chair,neutral
918,instinct ucc flop flop show happened ram temple issue elections boil basic issues access employment food climax place losing,negative
919,actioncomments high court antihindu rssbjp real makers bjp chief ministers names movie support renders makers bjp leaders promoting movie,positive
923,heres hoping manoj muntashir om raut bhushan kumar befitting reply allahabad high court cinematic crime justice prevail actions face consequences law,positive
926,day delhi ff shows mumbai ff shows hyderabad ff shows bengaluru ff shows pune ff shows chennainashiksolapur ff shows,neutral
927,kids fan makers distort beliefs facts epic superhero,neutral
928,gained renewed interest viewers compared om rauts latest cinematic interpretation hindu epic anticipation shows return shemaroo tv shared clip social media announcing revival fans viewers alike,positive
930,attention prabhas fans time shame acknowledged reality verdict colossal flop amount denial false narratives change instead defending indefensible embrace truth move,negative
931,blamed releasing insulting dharma,negative
932,dear prabhas fans time shame accept truth box office disaster allahabad hc condemned blasphemous portrayal stop living denial spreading lies,negative
936,dear prabhas fans time shame accept truth box office disaster allahabad hc condemned blasphemous portrayal stop living denial spreading lies,negative
938,high time makers shame accepted disastrous outcome apologize nation wasting time resources movie theaters make cinema oppenheimer mission impossible,negative
939,dear prabhas fans time shame accept truth box office disaster allahabad hc condemned blasphemous portrayal stop living denial spreading lies,negative
940,tirupati ceeded centre matinee show fast filling,neutral
951,share collected movies nizam prabhas king nizam,neutral
953,bhimavaram th day noon show gross vijayalakshmi s d avg s d,negative
956,make documentary depicting wrong things blasts makers cbfc,negative
960,joke allahabad high court films recent times hindu gods shown funny read,positive
966,allahabad hc tears adipurush makers castigates,negative
968,amid ongoing controversy cheap dialogues showcased film based ancient indian epic ramayana allahabad high court june tore filmmakers showcasing cheapness movie asked,neutral
970,nowadays unfortunately cinema cinema director seat show left lord hanuman pm talking election campaign govt declares holiday watch dir,neutral
971,konni life long gurthundipoye iconic shots ichav okati life long troll ayye shot ichav errimundaa,neutral
972,asked makers put disclaimer movie consider countrymen youth brainless show lord lanka court question,neutral
973,testing tolerance level hindus allahabad high court lambasts adipurush makers crass portrayal characters,neutral
974,teach generation senior advocate allahabad high court long hearing court issued notice dialogue writer case,neutral
975,make documentary quran depicting wrong things happen allahabad high court adipurush case,negative
980,movie proved movie directed st independent director literally directed badly,negative
982,trust reviews,positive
983,difficult portray movie rajamouli ramas character soft commercial elements story make movie mahabharata kudos team making effort,neutral
